date,province,health_zone,total_p,total_c,new_s,total_s,total_d,total_dc,total_cure,total_vacc
20181121,North-Kivu,Mutwanga,0,2,1,1,1,1,,292
20181122,North-Kivu,Mutwanga,0,2,1,1,1,1,,292
20181123,North-Kivu,Mutwanga,0,2,1,1,1,1,,292
20181124,North-Kivu,Mutwanga,0,2,1,1,1,1,,355
20181125,North-Kivu,Mutwanga,0,2,0,0,1,1,,355
20181126,North-Kivu,Mutwanga,0,2,2,2,1,1,,355
20181127,North-Kivu,Mutwanga,0,2,1,1,1,1,,355
20181128,North-Kivu,Mutwanga,0,2,2,2,1,1,,431
20181129,North-Kivu,Mutwanga,0,2,0,0,1,1,,431
20181130,North-Kivu,Mutwanga,0,3,1,1,1,1,,431
