date,province,health_zone,total_p,total_c,new_s,total_s,total_d,total_dc,total_cure,total_vacc
20180728,North-Kivu,Vuhovi,,,,,,,,
20180729,North-Kivu,Vuhovi,,,,,,,,
20180730,North-Kivu,Vuhovi,,,,,,,,
20180731,North-Kivu,Vuhovi,,,,,,,,
20180801,North-Kivu,Vuhovi,,,,,,,,
20180802,North-Kivu,Vuhovi,,,,,,,,
20180803,North-Kivu,Vuhovi,,,,,,,,
20180804,North-Kivu,Vuhovi,,,,,,,,
20180805,North-Kivu,Vuhovi,,,,,,,,
20180806,North-Kivu,Vuhovi,,,,,,,,
20180807,North-Kivu,Vuhovi,,,,,,,,
20180808,North-Kivu,Vuhovi,,,,,,,,
20180809,North-Kivu,Vuhovi,,,,,,,,
20180810,North-Kivu,Vuhovi,,,,,,,,
20180811,North-Kivu,Vuhovi,,,,,,,,
20180812,North-Kivu,Vuhovi,,,,,,,,
20180813,North-Kivu,Vuhovi,,,,,,,,
20180814,North-Kivu,Vuhovi,,,,,,,,
20180815,North-Kivu,Vuhovi,,,,,,,,
20180816,North-Kivu,Vuhovi,,,,,,,,
20180817,North-Kivu,Vuhovi,,,,,,,,
20180818,North-Kivu,Vuhovi,,,,,,,,
20180819,North-Kivu,Vuhovi,,,,,,,,
20180820,North-Kivu,Vuhovi,,,,,,,,
20180821,North-Kivu,Vuhovi,,,,,,,,
20180822,North-Kivu,Vuhovi,,,,,,,,
20180823,North-Kivu,Vuhovi,,,,,,,,
20180824,North-Kivu,Vuhovi,,,,,,,,
20180825,North-Kivu,Vuhovi,,,,,,,,
20180826,North-Kivu,Vuhovi,,,,,,,,
20180827,North-Kivu,Vuhovi,,,,,,,,
20180828,North-Kivu,Vuhovi,,,,,,,,
20180829,North-Kivu,Vuhovi,,,,,,,,
20180830,North-Kivu,Vuhovi,,,,,,,,
20180831,North-Kivu,Vuhovi,,,,,,,,
20180901,North-Kivu,Vuhovi,,,,,,,,
20180902,North-Kivu,Vuhovi,,,,,,,,
20180903,North-Kivu,Vuhovi,,,,,,,,
20180904,North-Kivu,Vuhovi,,,,,,,,
20180905,North-Kivu,Vuhovi,,,,,,,,
20180906,North-Kivu,Vuhovi,,,,,,,,
20180907,North-Kivu,Vuhovi,,,,,,,,
20180908,North-Kivu,Vuhovi,,,,,,,,
20180909,North-Kivu,Vuhovi,,,,,,,,
20180910,North-Kivu,Vuhovi,,,,,,,,
20180911,North-Kivu,Vuhovi,,,,,,,,
20180912,North-Kivu,Vuhovi,,,,,,,,
20180913,North-Kivu,Vuhovi,,,,,,,,
20180914,North-Kivu,Vuhovi,,,,,,,,
20180915,North-Kivu,Vuhovi,,,,,,,,
20180916,North-Kivu,Vuhovi,,,,,,,,
20180917,North-Kivu,Vuhovi,,,,,,,,
20180918,North-Kivu,Vuhovi,,,,,,,,
20180919,North-Kivu,Vuhovi,,,,,,,,
20180920,North-Kivu,Vuhovi,,,,,,,,
20180921,North-Kivu,Vuhovi,,,,,,,,
20180922,North-Kivu,Vuhovi,,,,,,,,
20180923,North-Kivu,Vuhovi,,,,,,,,
20180924,North-Kivu,Vuhovi,,,,,,,,
20180925,North-Kivu,Vuhovi,,,,,,,,
20180926,North-Kivu,Vuhovi,,,,,,,,
20180927,North-Kivu,Vuhovi,,,,,,,,
20180928,North-Kivu,Vuhovi,,,,,,,,
20180929,North-Kivu,Vuhovi,,,,,,,,
20180930,North-Kivu,Vuhovi,,,,,,,,
20181001,North-Kivu,Vuhovi,,,,,,,,
20181002,North-Kivu,Vuhovi,,,,,,,,
20181003,North-Kivu,Vuhovi,,,,,,,,
20181004,North-Kivu,Vuhovi,,,,,,,,
20181005,North-Kivu,Vuhovi,,,,,,,,
20181006,North-Kivu,Vuhovi,,,,,,,,
20181007,North-Kivu,Vuhovi,,,,,,,,
20181008,North-Kivu,Vuhovi,,,,,,,,
20181009,North-Kivu,Vuhovi,,,,,,,,
20181010,North-Kivu,Vuhovi,,,,,,,,
20181011,North-Kivu,Vuhovi,,,,,,,,
20181012,North-Kivu,Vuhovi,,,,,,,,
20181013,North-Kivu,Vuhovi,,,,,,,,
20181014,North-Kivu,Vuhovi,,,,,,,,
20181015,North-Kivu,Vuhovi,,,,,,,,
20181016,North-Kivu,Vuhovi,,,,,,,,
20181017,North-Kivu,Vuhovi,,,,,,,,
20181018,North-Kivu,Vuhovi,,,,,,,,
20181019,North-Kivu,Vuhovi,,,,,,,,
20181020,North-Kivu,Vuhovi,,,,,,,,
20181021,North-Kivu,Vuhovi,,,,,,,,
20181022,North-Kivu,Vuhovi,,,,,,,,
20181023,North-Kivu,Vuhovi,,,,,,,,
20181024,North-Kivu,Vuhovi,,,,,,,,
20181025,North-Kivu,Vuhovi,,,,,,,,
20181026,North-Kivu,Vuhovi,,,,,,,,
20181027,North-Kivu,Vuhovi,,,,,,,,
20181028,North-Kivu,Vuhovi,,,,,,,,40
20181029,North-Kivu,Vuhovi,,,,,,,,110
20181030,North-Kivu,Vuhovi,0,1,0,0,1,1,0,110
20181031,North-Kivu,Vuhovi,0,1,0,0,1,1,0,110
20181101,North-Kivu,Vuhovi,0,1,0,0,1,1,0,130
20181102,North-Kivu,Vuhovi,0,1,0,0,1,1,0,130
20181103,North-Kivu,Vuhovi,0,1,0,0,1,1,0,130
20181104,North-Kivu,Vuhovi,0,1,1,1,1,1,0,130
20181105,North-Kivu,Vuhovi,0,1,0,0,1,1,0,130
20181106,North-Kivu,Vuhovi,0,2,1,1,2,2,0,
20181107,North-Kivu,Vuhovi,0,2,1,1,2,2,0,190
20181108,North-Kivu,Vuhovi,0,3,0,0,2,2,0,250
20181109,North-Kivu,Vuhovi,0,3,0,0,2,2,0,250
20181110,North-Kivu,Vuhovi,0,3,1,1,2,2,,293
20181111,North-Kivu,Vuhovi,0,2,1,1,2,2,,293
20181112,North-Kivu,Vuhovi,0,2,0,0,,,,293
20181113,North-Kivu,Vuhovi,0,2,0,0,,,,293
20181114,North-Kivu,Vuhovi,0,2,0,0,,,,293
20181115,North-Kivu,Vuhovi,0,2,3,3,1,1,,293
20181116,North-Kivu,Vuhovi,0,2,0,0,1,1,,330
20181117,North-Kivu,Vuhovi,0,2,1,1,1,1,,359
20181118,North-Kivu,Vuhovi,0,2,1,1,1,1,,359
20181119,North-Kivu,Vuhovi,0,2,0,0,1,1,,359
20181120,North-Kivu,Vuhovi,0,2,0,0,1,1,,359
20181121,North-Kivu,Vuhovi,0,2,2,2,1,1,,359
20181122,North-Kivu,Vuhovi,0,2,0,0,1,1,,359
20181123,North-Kivu,Vuhovi,0,2,0,0,1,1,,359
20181124,North-Kivu,Vuhovi,0,2,2,2,1,1,,359
20181125,North-Kivu,Vuhovi,0,2,1,1,1,1,,359
20181126,North-Kivu,Vuhovi,0,2,0,0,1,1,,359
