date,province,health_zone,total_p,total_c,new_s,total_s,total_d,total_dc,total_cure,total_vacc
20180728,Ituri,Mandima,,,,,,,,
20180729,Ituri,Mandima,,,,,,,,
20180730,Ituri,Mandima,,,,,,,,
20180731,Ituri,Mandima,,,,,,,,
20180801,Ituri,Mandima,,,,,,,,
20180802,Ituri,Mandima,,,,,,,,
20180803,Ituri,Mandima,5,0,0,0,5,0,,
20180804,Ituri,Mandima,,,,,,,,
20180805,Ituri,Mandima,2,0,0,0,2,0,,
20180806,Ituri,Mandima,2,0,0,0,2,0,,
20180807,Ituri,Mandima,2,0,0,0,2,0,,
20180808,Ituri,Mandima,2,0,0,0,2,0,,
20180809,Ituri,Mandima,2,0,0,0,2,0,,
20180810,Ituri,Mandima,2,0,0,0,2,0,,
20180811,Ituri,Mandima,2,0,0,0,2,0,,
20180812,Ituri,Mandima,2,1,0,0,3,1,,
20180813,Ituri,Mandima,2,7,2,2,4,2,,
20180814,Ituri,Mandima,2,7,1,3,4,2,,
20180815,Ituri,Mandima,2,7,3,6,3,1,,40
20180816,Ituri,Mandima,2,7,0,6,3,1,,
20180817,Ituri,Mandima,2,7,0,6,3,1,,
20180818,Ituri,Mandima,2,7,0,0,3,1,,150
20180819,Ituri,Mandima,2,7,0,0,3,1,,209
20180820,Ituri,Mandima,2,7,0,0,3,1,,319
20180821,Ituri,Mandima,2,7,0,0,3,1,,449
20180822,Ituri,Mandima,2,7,0,0,3,1,,626
20180823,Ituri,Mandima,2,7,2,2,3,1,,746
20180824,Ituri,Mandima,2,7,0,0,3,1,,887
20180825,Ituri,Mandima,2,7,0,0,3,1,,887
20180826,Ituri,Mandima,2,7,1,1,3,1,,1017
20180827,Ituri,Mandima,2,8,2,3,3,1,,1017
20180828,Ituri,Mandima,2,8,0,0,3,1,,1017
20180829,Ituri,Mandima,2,8,0,0,3,1,,1017
20180830,Ituri,Mandima,2,8,0,0,3,1,,1017
20180831,Ituri,Mandima,2,8,0,0,3,1,,1037
20180901,Ituri,Mandima,2,8,0,0,3,1,,1037
20180902,Ituri,Mandima,2,8,0,0,3,1,,1067
20180903,Ituri,Mandima,2,8,0,0,3,1,,1067
20180904,Ituri,Mandima,2,9,0,0,3,1,,1067
20180905,Ituri,Mandima,2,9,1,1,3,1,,1067
20180906,Ituri,Mandima,2,9,1,1,3,1,3,1067
20180907,Ituri,Mandima,2,9,2,2,3,1,3,1117
20180908,Ituri,Mandima,2,9,0,0,3,1,3,1197
20180909,Ituri,Mandima,2,9,0,0,3,1,3,1257
20180910,Ituri,Mandima,2,9,0,0,3,1,3,1297
20180911,Ituri,Mandima,2,9,1,1,3,1,3,1307
20180912,Ituri,Mandima,2,9,0,0,3,1,3,1328
20180913,Ituri,Mandima,2,9,0,0,3,1,3,1365
20180914,Ituri,Mandima,2,9,1,1,3,1,3,
20180915,Ituri,Mandima,2,9,0,0,3,1,3,
20180916,Ituri,Mandima,2,9,0,0,3,1,3,1442
20180917,Ituri,Mandima,2,9,2,2,3,1,3,
20180918,Ituri,Mandima,2,9,1,1,3,1,3,1542
20180919,Ituri,Mandima,2,9,0,0,3,1,3,1582
20180920,Ituri,Mandima,2,9,2,2,3,1,3,1632
20180921,Ituri,Mandima,2,9,2,2,3,1,3,1632
20180922,Ituri,Mandima,2,9,0,0,3,1,3,1632
20180923,Ituri,Mandima,2,9,0,0,3,1,3,1632
20180924,Ituri,Mandima,2,9,2,2,3,1,3,1632
20180925,Ituri,Mandima,2,9,2,2,3,1,3,1632
20180926,Ituri,Mandima,2,9,0,0,3,1,3,1632
20180927,Ituri,Mandima,2,9,0,0,3,1,3,1632
20180928,Ituri,Mandima,2,9,1,1,3,1,3,1632
20180929,Ituri,Mandima,2,9,2,2,3,1,3,1632
20180930,Ituri,Mandima,2,9,0,0,3,1,3,1632
20181001,Ituri,Mandima,2,9,1,1,3,1,3,1632
20181002,Ituri,Mandima,2,9,1,1,3,1,3,1632
20181003,Ituri,Mandima,2,9,1,1,3,1,3,1632
20181004,Ituri,Mandima,2,9,2,2,3,1,3,1632
20181005,Ituri,Mandima,2,9,1,1,3,1,3,1653
20181006,Ituri,Mandima,2,9,0,0,3,1,3,1663
20181007,Ituri,Mandima,2,9,0,0,3,1,3,1663
20181008,Ituri,Mandima,2,9,0,0,3,1,3,1663
20181009,Ituri,Mandima,2,9,0,0,3,1,3,1663
20181010,Ituri,Mandima,2,9,4,4,3,1,3,1663
20181011,Ituri,Mandima,2,9,2,2,3,1,3,1663
20181012,Ituri,Mandima,2,9,,,3,1,3,1663
20181013,Ituri,Mandima,2,9,4,4,3,1,3,1663
20181014,Ituri,Mandima,2,9,1,1,3,1,3,1663
20181015,Ituri,Mandima,2,9,1,1,3,1,3,1663
20181016,Ituri,Mandima,2,9,0,0,3,1,3,1663
20181017,Ituri,Mandima,2,9,0,0,3,1,3,1663
20181018,Ituri,Mandima,2,9,3,3,3,1,3,1663
20181019,Ituri,Mandima,2,9,1,1,3,1,3,1663
20181020,Ituri,Mandima,2,9,0,0,3,1,3,1663
20181021,Ituri,Mandima,2,9,3,3,3,1,3,1663
20181022,Ituri,Mandima,2,9,0,0,3,1,3,1663
20181023,Ituri,Mandima,2,9,1,1,3,1,3,1663
20181024,Ituri,Mandima,2,9,4,4,3,1,3,1663
20181025,Ituri,Mandima,2,9,4,4,3,1,3,1663
20181026,Ituri,Mandima,2,9,2,2,3,1,3,1663
20181027,Ituri,Mandima,2,9,3,3,3,1,3,1663
