date,province,health_zone,total_p,total_c,new_s,total_s,total_d,total_dc,total_cure,total_vacc
20180728,Kinshasa,Kinshasa,,,,,,,,
20180729,Kinshasa,Kinshasa,,,,,,,,
20180730,Kinshasa,Kinshasa,,,,,,,,
20180731,Kinshasa,Kinshasa,,,,,,,,
20180801,Kinshasa,Kinshasa,,,,,,,,
20180802,Kinshasa,Kinshasa,,,,,,,,
20180803,Kinshasa,Kinshasa,,,,,,,,
20180804,Kinshasa,Kinshasa,,,,,,,,
20180805,Kinshasa,Kinshasa,,,,,,,,
20180806,Kinshasa,Kinshasa,,,,,,,,
20180807,Kinshasa,Kinshasa,,,,,,,,
20180808,Kinshasa,Kinshasa,,,,,,,,
20180809,Kinshasa,Kinshasa,,,,,,,,
20180810,Kinshasa,Kinshasa,,,,,,,,
20180811,Kinshasa,Kinshasa,,,,,,,,
20180812,Kinshasa,Kinshasa,,,,,,,,
20180813,Kinshasa,Kinshasa,,,,,,,,
20180814,Kinshasa,Kinshasa,,,,,,,,
20180815,Kinshasa,Kinshasa,,,,,,,,
20180816,Kinshasa,Kinshasa,,,,,,,,
20180817,Kinshasa,Kinshasa,,,,,,,,
20180818,Kinshasa,Kinshasa,,,,,,,,
20180819,Kinshasa,Kinshasa,,,,,,,,
20180820,Kinshasa,Kinshasa,,,,,,,,
20180821,Kinshasa,Kinshasa,,,,,,,,
20180822,Kinshasa,Kinshasa,,,,,,,,
20180823,Kinshasa,Kinshasa,,,,,,,,
20180824,Kinshasa,Kinshasa,,,,,,,,
20180825,Kinshasa,Kinshasa,,,,,,,,
20180826,Kinshasa,Kinshasa,,,,,,,,
20180827,Kinshasa,Kinshasa,,,,,,,,
20180828,Kinshasa,Kinshasa,,,,,,,,
20180829,Kinshasa,Kinshasa,,,,,,,,14
20180830,Kinshasa,Kinshasa,,,,,,,,19
20180831,Kinshasa,Kinshasa,,,,,,,,19
20180901,Kinshasa,Kinshasa,,,,,,,,19
20180902,Kinshasa,Kinshasa,,,,,,,,19
20180903,Kinshasa,Kinshasa,,,,,,,,19
20180904,Kinshasa,Kinshasa,,,,,,,,19
20180905,Kinshasa,Kinshasa,,,,,,,,19
20180906,Kinshasa,Kinshasa,,,,,,,,19
20180907,Kinshasa,Kinshasa,,,,,,,,19
20180908,Kinshasa,Kinshasa,,,,,,,,19
20180909,Kinshasa,Kinshasa,,,,,,,,38
20180910,Kinshasa,Kinshasa,,,,,,,,56
20180911,Kinshasa,Kinshasa,,,,,,,,56
20180912,Kinshasa,Kinshasa,,,,,,,,65
20180913,Kinshasa,Kinshasa,,,,,,,,65
20180914,Kinshasa,Kinshasa,,,,,,,,
20180915,Kinshasa,Kinshasa,,,,,,,,
20180916,Kinshasa,Kinshasa,,,,,,,,65
20180917,Kinshasa,Kinshasa,,,,,,,,
20180918,Kinshasa,Kinshasa,,,,,,,,65
20180919,Kinshasa,Kinshasa,,,,,,,,65
20180920,Kinshasa,Kinshasa,,,,,,,,65
20180921,Kinshasa,Kinshasa,,,,,,,,65
20180922,Kinshasa,Kinshasa,,,,,,,,65
20180923,Kinshasa,Kinshasa,,,,,,,,65
20180924,Kinshasa,Kinshasa,,,,,,,,65
20180925,Kinshasa,Kinshasa,,,,,,,,65
20180926,Kinshasa,Kinshasa,,,,,,,,65
20180927,Kinshasa,Kinshasa,,,,,,,,65
20180928,Kinshasa,Kinshasa,,,,,,,,65
20180929,Kinshasa,Kinshasa,,,,,,,,65
20180930,Kinshasa,Kinshasa,,,,,,,,65
20181001,Kinshasa,Kinshasa,,,,,,,,65
20181002,Kinshasa,Kinshasa,,,,,,,,65
20181003,Kinshasa,Kinshasa,,,,,,,,
20181004,Kinshasa,Kinshasa,,,,,,,,
20181005,Kinshasa,Kinshasa,,,,,,,,
20181006,Kinshasa,Kinshasa,,,,,,,,
20181007,Kinshasa,Kinshasa,,,,,,,,
20181008,Kinshasa,Kinshasa,,,,,,,,
20181009,Kinshasa,Kinshasa,,,,,,,,
